,ID_GRUPO,TX_NOMBRE
0,526402,National Treasure
1,526403,Poohs Heffalump Movie
2,526406,Cars
3,526409,"Princess Diaries 2, The: Royal Engagement"
4,526422,Pirates of the Caribbean: The Curse of the Black Pearl
5,526423,"Santa Clause, The"
6,526424,"Santa Clause 2, The"
7,526425,Blue Planet
8,526426,Blue Planet
9,526428,Blue Planet
10,526431,Blue Planet
11,526432,Blue Planet
12,526454,Pocahontas
13,526466,Sky High
14,526469,Chicken Little
15,526471,Stick It!
16,526474,"4th Floor, The"
17,526477,Nacho Libre
18,526478,Cansada de besar sapos (Tired of Kissing Frogs)
19,526482,"Sixth Sense, The"
20,526483,Saw III
21,526487,"Simpsons Movie, The"
22,526493,Transformers
23,526499,Brother Bear
24,526500,Under the Tuscan Sun
25,526514,Unbreakable
26,526515,National Treasure 2: The Book of Secrets
27,526516,"Game Plan, The"
28,526580,"Mutant Chronicles, The"
29,526586,Everyones Hero (aka Yankee Irving)
30,526591,Tinker Bell
31,526597,King Arthur
32,526602,"Chronicles of Narnia, The: The Lion, the Witch and the Wardrobe"
33,526604,"Haunted Mansion, The"
34,526640,Transformers: Revenge of the Fallen
35,526702,"Devils Tomb, The"
36,526748,Planet Earth: Ocean Deep
37,526749,Planet Earth: Seasonal Forests
38,526768,Ice Age
39,526769,Desperate Housewives
40,526773,Desperate Housewives
41,526774,Desperate Housewives
42,526777,Desperate Housewives
43,526779,Desperate Housewives
44,526780,Desperate Housewives
45,526783,Desperate Housewives
46,526785,Desperate Housewives
47,526787,Desperate Housewives
48,526789,Desperate Housewives
49,526790,Desperate Housewives
50,526793,Desperate Housewives
51,526794,Desperate Housewives
52,526797,Desperate Housewives
53,526798,Desperate Housewives
54,526801,Desperate Housewives
55,526804,Planet Earth: From Pole to Pole
56,526805,Planet Earth: Mountains
57,526806,Planet Earth
58,526807,Desperate Housewives
59,526808,Desperate Housewives
60,526809,Desperate Housewives
61,526810,Desperate Housewives
62,526832,Heavens Fall
63,526852,Driven to Kill (aka Ruslan)
64,526859,Greta (aka According to Greta)
65,526981,"Godfather Part II, The"
66,527171,Dangerous Minds
67,527206,"Rescuers, The"
68,527207,"To Wong Foo, Thanks for Everything, Julie Newmar"
69,527212,Home on the Range
70,527218,Treasure Planet
